,rohini,local_time
684,14.0,2019-08-16 23:00:00
685,20.0,2019-08-17 00:00:00
686,19.0,2019-08-17 01:00:00
687,14.0,2019-08-17 02:00:00
688,2.0,2019-08-17 03:00:00
689,9.0,2019-08-17 04:00:00
690,9.0,2019-08-17 05:00:00
691,5.0,2019-08-17 06:00:00
692,8.0,2019-08-17 07:00:00
693,14.0,2019-08-17 08:00:00
694,7.0,2019-08-17 09:00:00
695,3.0,2019-08-17 10:00:00
696,2.0,2019-08-17 11:00:00
697,3.0,2019-08-17 12:00:00
698,7.0,2019-08-17 13:00:00
699,13.0,2019-08-17 14:00:00
700,9.0,2019-08-17 15:00:00
701,5.0,2019-08-17 16:00:00
702,1.0,2019-08-17 17:00:00
703,0.0,2019-08-17 18:00:00
704,1.0,2019-08-17 19:00:00
705,9.0,2019-08-17 20:00:00
706,9.0,2019-08-17 21:00:00
707,9.0,2019-08-17 22:00:00
708,16.0,2019-08-17 23:00:00
709,7.0,2019-08-18 00:00:00
710,6.0,2019-08-18 01:00:00
711,2.0,2019-08-18 02:00:00
712,5.0,2019-08-18 03:00:00
713,8.0,2019-08-18 04:00:00
714,9.0,2019-08-18 05:00:00
715,5.0,2019-08-18 06:00:00
716,3.0,2019-08-18 07:00:00
717,3.0,2019-08-18 08:00:00
718,2.0,2019-08-18 09:00:00
719,8.0,2019-08-18 10:00:00
720,6.0,2019-08-18 11:00:00
721,3.0,2019-08-18 12:00:00
722,5.0,2019-08-18 13:00:00
723,3.0,2019-08-18 14:00:00
