,pm25,local_time
926,63.0,2019-09-11 09:00:00
927,69.0,2019-09-11 10:00:00
928,61.0,2019-09-11 11:00:00
929,64.0,2019-09-11 12:00:00
930,63.0,2019-09-11 13:00:00
931,59.0,2019-09-11 14:00:00
932,68.0,2019-09-11 15:00:00
933,73.0,2019-09-11 16:00:00
934,74.0,2019-09-11 17:00:00
935,79.0,2019-09-11 18:00:00
1937,,2019-09-11 19:00:00
1938,,2019-09-11 20:00:00
1939,,2019-09-11 21:00:00
1940,,2019-09-11 22:00:00
1941,,2019-09-11 23:00:00
936,116.0,2019-09-12 00:00:00
937,92.0,2019-09-12 01:00:00
938,59.0,2019-09-12 02:00:00
939,64.0,2019-09-12 03:00:00
940,69.0,2019-09-12 04:00:00
941,67.0,2019-09-12 05:00:00
942,58.0,2019-09-12 06:00:00
943,53.0,2019-09-12 07:00:00
944,63.0,2019-09-12 08:00:00
945,59.0,2019-09-12 09:00:00
946,50.0,2019-09-12 10:00:00
1942,,2019-09-12 11:00:00
947,58.0,2019-09-12 12:00:00
948,63.0,2019-09-12 13:00:00
949,62.0,2019-09-12 14:00:00
950,58.0,2019-09-12 15:00:00
951,46.0,2019-09-12 16:00:00
952,45.0,2019-09-12 17:00:00
953,40.0,2019-09-12 18:00:00
954,70.0,2019-09-12 19:00:00
955,59.0,2019-09-12 20:00:00
956,46.0,2019-09-12 21:00:00
957,46.0,2019-09-12 22:00:00
958,45.0,2019-09-12 23:00:00
959,40.0,2019-09-13 00:00:00
960,,2019-09-13 01:00:00
961,,2019-09-13 02:00:00
962,,2019-09-13 03:00:00
963,,2019-09-13 04:00:00
964,30.0,2019-09-13 05:00:00
965,45.0,2019-09-13 06:00:00
966,105.0,2019-09-13 07:00:00
967,72.0,2019-09-13 08:00:00
968,,2019-09-13 09:00:00
969,,2019-09-13 10:00:00
970,27.0,2019-09-13 11:00:00
971,33.0,2019-09-13 12:00:00
972,28.0,2019-09-13 13:00:00
973,24.0,2019-09-13 14:00:00
974,28.0,2019-09-13 15:00:00
975,30.0,2019-09-13 16:00:00
976,30.0,2019-09-13 17:00:00
977,27.0,2019-09-13 18:00:00
978,24.0,2019-09-13 19:00:00
979,25.0,2019-09-13 20:00:00
980,33.0,2019-09-13 21:00:00
981,31.0,2019-09-13 22:00:00
982,19.0,2019-09-13 23:00:00
983,19.0,2019-09-14 00:00:00
984,17.0,2019-09-14 01:00:00
985,16.0,2019-09-14 02:00:00
986,19.0,2019-09-14 03:00:00
987,23.0,2019-09-14 04:00:00
988,17.0,2019-09-14 05:00:00
989,28.0,2019-09-14 06:00:00
990,39.0,2019-09-14 07:00:00
991,33.0,2019-09-14 08:00:00
992,44.0,2019-09-14 09:00:00
993,40.0,2019-09-14 10:00:00
994,52.0,2019-09-14 11:00:00
995,57.0,2019-09-14 12:00:00
996,38.0,2019-09-14 13:00:00
997,28.0,2019-09-14 14:00:00
998,24.0,2019-09-14 15:00:00
999,23.0,2019-09-14 16:00:00
1000,22.0,2019-09-14 17:00:00
1001,23.0,2019-09-14 18:00:00
1002,23.0,2019-09-14 19:00:00
1003,41.0,2019-09-14 20:00:00
1004,53.0,2019-09-14 21:00:00
1005,40.0,2019-09-14 22:00:00
1006,38.0,2019-09-14 23:00:00
1007,39.0,2019-09-15 00:00:00
1008,30.0,2019-09-15 01:00:00
1009,29.0,2019-09-15 02:00:00
1010,34.0,2019-09-15 03:00:00
1011,18.0,2019-09-15 04:00:00
1012,29.0,2019-09-15 05:00:00
1013,34.0,2019-09-15 06:00:00
1014,36.0,2019-09-15 07:00:00
1015,72.0,2019-09-15 08:00:00
1016,55.0,2019-09-15 09:00:00
1017,52.0,2019-09-15 10:00:00
1018,29.0,2019-09-15 11:00:00
1019,36.0,2019-09-15 12:00:00
1020,34.0,2019-09-15 13:00:00
1021,51.0,2019-09-15 14:00:00
1022,38.0,2019-09-15 15:00:00
1023,30.0,2019-09-15 16:00:00
1024,29.0,2019-09-15 17:00:00
1025,31.0,2019-09-15 18:00:00
1026,29.0,2019-09-15 19:00:00
1027,42.0,2019-09-15 20:00:00
1028,42.0,2019-09-15 21:00:00
1029,48.0,2019-09-15 22:00:00
1030,51.0,2019-09-15 23:00:00
1031,42.0,2019-09-16 00:00:00
1032,44.0,2019-09-16 01:00:00
1033,44.0,2019-09-16 02:00:00
1034,62.0,2019-09-16 03:00:00
1035,81.0,2019-09-16 04:00:00
1036,77.0,2019-09-16 05:00:00
1037,83.0,2019-09-16 06:00:00
1038,244.0,2019-09-16 07:00:00
1039,205.0,2019-09-16 08:00:00
1040,80.0,2019-09-16 09:00:00
1041,63.0,2019-09-16 10:00:00
1042,53.0,2019-09-16 11:00:00
1043,50.0,2019-09-16 12:00:00
1943,,2019-09-16 13:00:00
1044,53.0,2019-09-16 14:00:00
1045,45.0,2019-09-16 15:00:00
1046,46.0,2019-09-16 16:00:00
1047,51.0,2019-09-16 17:00:00
1048,62.0,2019-09-16 18:00:00
1049,70.0,2019-09-16 19:00:00
1050,88.0,2019-09-16 20:00:00
1051,129.0,2019-09-16 21:00:00
1052,90.0,2019-09-16 22:00:00
1053,79.0,2019-09-16 23:00:00
1054,80.0,2019-09-17 00:00:00
1055,88.0,2019-09-17 01:00:00
1056,103.0,2019-09-17 02:00:00
1057,92.0,2019-09-17 03:00:00
1058,74.0,2019-09-17 04:00:00
1059,67.0,2019-09-17 05:00:00
1060,62.0,2019-09-17 06:00:00
1061,75.0,2019-09-17 07:00:00
1062,64.0,2019-09-17 08:00:00
1063,44.0,2019-09-17 09:00:00
1064,36.0,2019-09-17 10:00:00
1065,33.0,2019-09-17 11:00:00
1066,40.0,2019-09-17 12:00:00
1067,46.0,2019-09-17 13:00:00
1068,47.0,2019-09-17 14:00:00
1069,50.0,2019-09-17 15:00:00
1070,45.0,2019-09-17 16:00:00
1071,63.0,2019-09-17 17:00:00
1072,42.0,2019-09-17 18:00:00
1073,52.0,2019-09-17 19:00:00
1074,80.0,2019-09-17 20:00:00
1075,78.0,2019-09-17 21:00:00
1076,83.0,2019-09-17 22:00:00
1077,61.0,2019-09-17 23:00:00
1078,42.0,2019-09-18 00:00:00
1079,39.0,2019-09-18 01:00:00
1080,31.0,2019-09-18 02:00:00
1081,36.0,2019-09-18 03:00:00
1082,34.0,2019-09-18 04:00:00
1083,38.0,2019-09-18 05:00:00
1084,45.0,2019-09-18 06:00:00
1085,42.0,2019-09-18 07:00:00
1086,31.0,2019-09-18 08:00:00
1087,22.0,2019-09-18 09:00:00
1088,31.0,2019-09-18 10:00:00
1089,34.0,2019-09-18 11:00:00
1090,34.0,2019-09-18 12:00:00
1091,35.0,2019-09-18 13:00:00
1092,38.0,2019-09-18 14:00:00
1093,36.0,2019-09-18 15:00:00
1094,42.0,2019-09-18 16:00:00
1095,33.0,2019-09-18 17:00:00
1096,41.0,2019-09-18 18:00:00
1097,47.0,2019-09-18 19:00:00
1098,42.0,2019-09-18 20:00:00
1099,36.0,2019-09-18 21:00:00
1100,29.0,2019-09-18 22:00:00
1101,29.0,2019-09-18 23:00:00
1102,30.0,2019-09-19 00:00:00
1103,17.0,2019-09-19 01:00:00
1104,8.0,2019-09-19 02:00:00
1105,8.0,2019-09-19 03:00:00
1106,8.0,2019-09-19 04:00:00
1107,14.0,2019-09-19 05:00:00
1108,17.0,2019-09-19 06:00:00
1109,23.0,2019-09-19 07:00:00
1110,36.0,2019-09-19 08:00:00
1111,33.0,2019-09-19 09:00:00
1112,39.0,2019-09-19 10:00:00
1944,,2019-09-19 11:00:00
1113,29.0,2019-09-19 12:00:00
1114,40.0,2019-09-19 13:00:00
1115,22.0,2019-09-19 14:00:00
1116,25.0,2019-09-19 15:00:00
1117,23.0,2019-09-19 16:00:00
1118,,2019-09-19 17:00:00
1119,40.0,2019-09-19 18:00:00
1120,38.0,2019-09-19 19:00:00
1121,56.0,2019-09-19 20:00:00
1122,48.0,2019-09-19 21:00:00
1123,30.0,2019-09-19 22:00:00
1124,24.0,2019-09-19 23:00:00
1125,24.0,2019-09-20 00:00:00
1126,34.0,2019-09-20 01:00:00
1127,47.0,2019-09-20 02:00:00
1128,84.0,2019-09-20 03:00:00
1129,84.0,2019-09-20 04:00:00
1130,94.0,2019-09-20 05:00:00
1131,85.0,2019-09-20 06:00:00
1132,226.0,2019-09-20 07:00:00
1133,157.0,2019-09-20 08:00:00
1134,58.0,2019-09-20 09:00:00
1135,67.0,2019-09-20 10:00:00
1136,59.0,2019-09-20 11:00:00
1137,38.0,2019-09-20 12:00:00
1138,24.0,2019-09-20 13:00:00
1139,20.0,2019-09-20 14:00:00
1140,33.0,2019-09-20 15:00:00
1141,30.0,2019-09-20 16:00:00
1142,39.0,2019-09-20 17:00:00
1143,42.0,2019-09-20 18:00:00
1144,74.0,2019-09-20 19:00:00
1145,86.0,2019-09-20 20:00:00
1146,61.0,2019-09-20 21:00:00
1147,66.0,2019-09-20 22:00:00
1148,59.0,2019-09-20 23:00:00
1149,50.0,2019-09-21 00:00:00
1150,52.0,2019-09-21 01:00:00
1151,29.0,2019-09-21 02:00:00
1152,29.0,2019-09-21 03:00:00
1153,29.0,2019-09-21 04:00:00
1154,33.0,2019-09-21 05:00:00
1155,35.0,2019-09-21 06:00:00
1156,75.0,2019-09-21 07:00:00
1157,47.0,2019-09-21 08:00:00
1158,40.0,2019-09-21 09:00:00
1159,39.0,2019-09-21 10:00:00
1160,44.0,2019-09-21 11:00:00
1161,38.0,2019-09-21 12:00:00
1162,84.0,2019-09-21 13:00:00
1163,78.0,2019-09-21 14:00:00
