,time,north_east,south_east,south_west,north_west
290,2019-07-13 02:00:00,0.0,0.0,0.0,0.0
291,2019-07-13 03:00:00,0.0,0.0,0.0,0.0
292,2019-07-13 04:00:00,0.0,0.0,0.0,0.0
293,2019-07-13 05:00:00,0.0,0.0,0.0,0.0
294,2019-07-13 06:00:00,0.0,0.0,0.0,0.0
295,2019-07-13 07:00:00,0.0,335.4625,0.0,0.0
296,2019-07-13 08:00:00,0.0,0.0,0.0,0.0
297,2019-07-13 09:00:00,0.0,0.0,337.4,0.0
298,2019-07-13 10:00:00,0.0,0.0,0.0,0.0
299,2019-07-13 11:00:00,0.0,0.0,0.0,0.0
300,2019-07-13 12:00:00,0.0,0.0,0.0,0.0
301,2019-07-13 13:00:00,0.0,0.0,0.0,0.0
302,2019-07-13 14:00:00,0.0,0.0,0.0,0.0
303,2019-07-13 15:00:00,0.0,0.0,0.0,0.0
304,2019-07-13 16:00:00,0.0,0.0,0.0,0.0
305,2019-07-13 17:00:00,0.0,0.0,0.0,0.0
306,2019-07-13 18:00:00,0.0,0.0,0.0,0.0
307,2019-07-13 19:00:00,0.0,308.66093750000005,0.0,0.0
308,2019-07-13 20:00:00,0.0,0.0,0.0,0.0
309,2019-07-13 21:00:00,0.0,0.0,307.5909090909091,0.0
310,2019-07-13 22:00:00,0.0,0.0,0.0,0.0
311,2019-07-13 23:00:00,0.0,0.0,0.0,0.0
312,2019-07-14 00:00:00,0.0,0.0,0.0,0.0
313,2019-07-14 01:00:00,0.0,0.0,0.0,0.0
314,2019-07-14 02:00:00,0.0,0.0,0.0,0.0
315,2019-07-14 03:00:00,0.0,0.0,0.0,0.0
316,2019-07-14 04:00:00,0.0,0.0,0.0,0.0
317,2019-07-14 05:00:00,0.0,0.0,0.0,0.0
318,2019-07-14 06:00:00,0.0,0.0,0.0,0.0
319,2019-07-14 07:00:00,0.0,332.05,0.0,0.0
320,2019-07-14 08:00:00,0.0,339.05,340.7444444444444,0.0
321,2019-07-14 09:00:00,0.0,0.0,0.0,0.0
322,2019-07-14 10:00:00,0.0,0.0,0.0,0.0
323,2019-07-14 11:00:00,0.0,0.0,0.0,0.0
324,2019-07-14 12:00:00,0.0,0.0,0.0,0.0
325,2019-07-14 13:00:00,0.0,0.0,0.0,0.0
326,2019-07-14 14:00:00,0.0,0.0,0.0,0.0
327,2019-07-14 15:00:00,0.0,0.0,0.0,0.0
328,2019-07-14 16:00:00,0.0,0.0,0.0,0.0
329,2019-07-14 17:00:00,0.0,0.0,0.0,0.0
330,2019-07-14 18:00:00,0.0,0.0,0.0,0.0
331,2019-07-14 19:00:00,0.0,310.94,0.0,0.0
332,2019-07-14 20:00:00,0.0,0.0,0.0,0.0
333,2019-07-14 21:00:00,0.0,304.5,308.14285714285717,0.0
334,2019-07-14 22:00:00,0.0,0.0,0.0,0.0
335,2019-07-14 23:00:00,0.0,0.0,0.0,0.0
336,2019-07-15 00:00:00,0.0,0.0,0.0,0.0
337,2019-07-15 01:00:00,0.0,0.0,0.0,0.0
338,2019-07-15 02:00:00,0.0,0.0,0.0,0.0
339,2019-07-15 03:00:00,0.0,0.0,0.0,0.0
340,2019-07-15 04:00:00,0.0,0.0,0.0,0.0
341,2019-07-15 05:00:00,0.0,0.0,0.0,0.0
342,2019-07-15 06:00:00,0.0,333.8,0.0,0.0
343,2019-07-15 07:00:00,0.0,0.0,0.0,0.0
344,2019-07-15 08:00:00,0.0,336.44615384615383,335.84285714285716,0.0
345,2019-07-15 09:00:00,0.0,0.0,0.0,0.0
346,2019-07-15 10:00:00,0.0,0.0,0.0,0.0
347,2019-07-15 11:00:00,0.0,0.0,0.0,0.0
348,2019-07-15 12:00:00,0.0,0.0,0.0,0.0
349,2019-07-15 13:00:00,0.0,0.0,0.0,0.0
350,2019-07-15 14:00:00,0.0,0.0,0.0,0.0
351,2019-07-15 15:00:00,0.0,0.0,0.0,0.0
352,2019-07-15 16:00:00,0.0,0.0,0.0,0.0
353,2019-07-15 17:00:00,0.0,0.0,0.0,0.0
354,2019-07-15 18:00:00,0.0,0.0,0.0,0.0
355,2019-07-15 19:00:00,0.0,307.592,0.0,0.0
356,2019-07-15 20:00:00,0.0,301.225,313.09999999999997,0.0
357,2019-07-15 21:00:00,0.0,0.0,0.0,0.0
358,2019-07-15 22:00:00,0.0,0.0,0.0,0.0
359,2019-07-15 23:00:00,0.0,0.0,0.0,0.0
360,2019-07-16 00:00:00,0.0,0.0,0.0,0.0
